text	label
ay yo queria jugar            	sadness
quiero con el dron ese q en paz    	sadness
clase basura soy              	sadness
falta mi chico aca conmigo pero no tiene toque con	sadness
tengo ropa todavia no pude usar        	anger
alegro el dia              	joy
todo termino                	sadness
chevere esas persona cuando hay vacaciones o festivo yo ultima	sadness
mitad semana ya otra vez vamos        	joy
no puedo creer todos estos          	sadness
cuando te toca tus utiles          	sadness
necesito un perrito en mi vida        	sadness
necesito hablar con alguien            	sadness
pinch ya hay pilas y hay empezar hacer buenas peliculas	sadness
tuve do semanas para terminar mi trabajo final y aqui	joy
da miedo toda vida profesional          	sadness
hoy e dia d veremos como estamos      	joy
ya veo los 22            	sadness
pues viva viva viva viva          	joy
ya manana voy              	sadness
verdad si ya urge salir aqui        	sadness
muerte toda                	anger
una toda vida pero tengo celular        	joy
y mas ahorita ya soy bien fit y    	sadness
esta oreja izquierda estan hablando bien mi      	joy
en una sociedad muy            	sadness
su pase lpm              	anger
ja to                	sadness
tengo sueno                	sadness
todavia sigo con el final infinity war no podes terminar	sadness
mal siento dios mio            	sadness
mi mejores manana y estaran buen lejos mi    	sadness
! maria un momento y ya        	anger
yo quedo siempre como full preocupada horror      	sadness
cuando yo sea presidente los miercoles no vamos trabajar mabel	sadness
y mi novio va sacar bailar casi muero    	joy
vuelves padre                	sadness
lo peor salir y no haber cargador el cel  	sadness
alguien sabe un para dormir no pegue el ojo en	sadness
te extrano                	sadness
y yo q ya habia por fin tener con quien	sadness
esta cayendo aguacero y el vuelo e      	sadness
pasar todo el finde con mi hija sube mil  	joy
super acuerdo contigo              	joy
o en tu casa sin creer en dios    	sadness
ganas bailar y meter fiesta estan        	sadness
todos dicen lo mismo ojala fuera facil      	sadness
un fin semana para el olvido        	sadness
ahora mas nunca tengo miedo esos aun tengo en mente	sadness
caga despertarme en madrugada            	anger
ojala mi amigo en asi no tendria despedirme todo el	sadness
bueno y tengo miedo o algo asi      	sadness
veces extrano hablar con ciertas persona        	sadness
duele realidad                	sadness
quiero ir ver mi mami          	sadness
mejor voy quedar ni ganas ponerme mal humor    	joy
siento mucha impotencia saber uno mi mejores amigo secundaria y	sadness
desperte con una sensacion vacio  ! exacto hambre [?]	sadness
el fue muchas primeras            	sadness
ala                  	anger
vida porque eres tan pinch dificil        	sadness
raro el                	anger
algun dia va volver            	joy
nunca habia visto ? como se supera lo del perrito	joy
bajon se fueron ganas salir          	sadness
odio y quedar o dios          	anger
ojala mi suenos se realidad          	sadness
esos y                	anger
e tan triste ser al queso y no poder comer	sadness
dios quiera                	sadness
feo estar tan lejos            	sadness
voy terminar no aguantando y no va quedar hay cosas	sadness
chabon linda esta noche            	joy
? alguien decirme si existe un ignorancia      	joy
como le gente              	joy
yo mato                	anger
no e mi novio pero igual        	anger
lali cambio fecha para el 8 septiembre      	joy
yo solo equivoque cuando mi alma tuya porque el sol	sadness
estas horas los domingo haciendo limpieza        	sadness
toy otra ve  [?] sugar baby      	sadness
hasta ahora no nunca con alguien con el panuelo celeste	joy
ya empieza depresion pre lunes          	sadness
buenos dias con fe y amor        	joy
quiero poder jugar futbol otra f        	sadness
cada vez pongo una ese dia llueve ? alguien mas	sadness
pinche pesadilla e una bola viejas        	anger
do y ya estar borracho e una tristeza    	sadness
tomo toda mi clases en diferentes y no se llegar	joy
adorable                  	anger
dios llena del corazon sin duda        	joy
no quise ir misa con mi papas porque voy fiesta	sadness
sal tu rutina              	anger
todo lima tengo              	anger
hoy hace 4 anos conoci al amor mi vida yo	sadness
yo sabia algo malo iba pasar iba todo muy bien	sadness
mi apellido lo con            	anger
si y si y si sin pensarlo      	joy
cansancio tengo                	sadness
y yo queria ir            	sadness
quiero alguien sin y decir tengo ganas      	joy
toda noche ni un poco pude dormir      	anger
tanto cuesta cerrar puerta tambien          	anger
todo por culpa esta            	anger
dormi 4 manana y aca estoy al pie del canon	joy
todos pero mal              	sadness
ayyyy veces creo lo merezco          	sadness
bronca da todos los pantalones grandes cintura      	anger
lo presiento                	joy
feo apenas banar y pronto te ganas hacer    	sadness
creo serum dia tour centro con rock      	joy
no se escuela e lo mas cool      	joy
llego el sabado y yo con tremenda grupo bueno tampoco	sadness
estoy en el cine y los al frente tienen un	joy
hace gracia este emoji            	joy
? donde le doy mi vacaciones        	sadness
mate y                	joy
paciencia                  	joy
porque tiene pasar esto siempre mi        	anger
uno se pone mal por unas pendejadas mi casa por	sadness
el dolor piernas q estoy manejando        	anger
soy persona ma del mundo          	sadness
tengo miedo                	sadness
le tengo 0 paciencia            	anger
q bronca no poder ir          	anger
siento                  	sadness
esta lloviendo desde medium noche quien sale entrenar asi  	sadness
simplemente increible asi e ella          	joy
pero esto no e            	anger
voy hacer hasta una toma si e necesario para salir	anger
no puedo con esos suenos          	sadness
voy hacer in live ahora          	joy
ni yo aguanto              	anger
neta si estoy triste por manana        	sadness
hoy queria trago              	sadness
un dia soy joven y al otro meto una pagina	sadness
explota cabeza y no e resaca        	anger
son ninos loco no sea malo hay aceptar maneras pensar	anger
extrano tanto mi viejos            	sadness
ahora enamore lo bonito e          	joy
seria tan feliz si imagine dragon colombia nuevo    	sadness
mi padre dejaron              	anger
verdad e si tengo mucho miedo  real    	sadness
odio sentirme asi              	sadness
no persona                	anger
ya el dia              	anger
"diego le dijo mi mami cuando clase todos "" mami"	sadness
por mas te para una situacion asi jamas dejara ser	sadness
re esta para tortas fritas y los mate si alguien	joy
tambien se fue para el lado del definitivamente he quedado	sadness
pibe idiota soy              	sadness
! buenos dias y felizlunes una nueva semana e una	joy
detesto el jugo verde pero igual intento toda mananas  	sadness
podrido tener cargar el cada vez voy jugar    	anger
tengo mucha hambre pero si levanto mi mama limpiar seguro	sadness
ay                 	sadness
ayer fue un dia muy bonito xq hable con  	joy
mi dia va ser estar acostada todo el dia levantarme	joy
ni hagas acordar              	anger
se siente venir casa mi abuelo y no este  	sadness
sueno con el dia en el encuentre alguien y no	sadness
tengo hambre                	anger
como lo extrano              	sadness
cosas tan importantes hasta el dia hoy como primera vez	joy
invitaron 5 persona pero el dolor ovarios esta matando  	joy
no cabe en cabeza como hemos podido poner en lima	sadness
feo no ser suficiente            	sadness
quien manda hacer estas cosas          	sadness
un chingo chivas              	sadness
lo unico quiero e estar bien        	sadness
hoy lo vi un mal          	sadness
hoy salgo con 5 por culpa lucas      	anger
no puedo dormir              	joy
bonita semana en mi sistema [?] va ser aun mas	sadness
necesito kevin salga ya ahi y llame      	sadness
sera para nico maduro no se pero con el pinche	anger
estan tan bonito  feo tener contar cosas asi men	sadness
hasta cuando                	anger
se no acaba ir luz y sono un golpe en	sadness
tal cual                	joy
estoy despierta desde 8 pero todavia no sali mi cama	sadness
te esperamos               	joy
lo extrano                	sadness
odiando hasta respirar              	joy
vamos estar nuevo 9 si gana los otros    	anger
madre                  	joy
empieza ahora e              	sadness
para hacerse unas hay pedir cita pero espero mi y	joy
muchas ganas aunque sea un finde conocer un lugar  	sadness
ay dios                	anger
no desayune no no            	sadness
se puso muy contenta porque le regale unica foto tenemos	joy
ni mi amigas contestan            	sadness
no puedo ser ma ni para esto sirvo    	sadness
porque se puedo salir aunque quiera quedarme      	sadness
no puedo entender porque            	sadness
venir al trae malos recuerdos          	sadness
dicen no hay no se al dueno pero estos se	anger
hoy necesito salir mi casa          	sadness
donde lo mio pues ya tengo como      	anger
no no interesa enamorar ser no no cuando todo murio	joy
se acabaron vacaciones manana rutina nuevo        	sadness
nada ma feo sentir estos dolores en el pecho no	sadness
quisiera ir verlo manana            	sadness
pinche esas cosas              	joy
ya una parte pero y ahora hago con vida misma	joy
ni gracias dijo              	sadness
y ya no los voy tener        	sadness
no tomamos una birra con          	joy
tengo un plan un plan b y un plan c	joy
quede sin contactos wsp pa          	sadness
so na sopa              	joy
? ya vieron el pooh aparece despues del    	joy
este pibe se hace tanto saca lo peor mi 	anger
unos pero como encantaria este momento lo camiseta del club	sadness
hace 1 vengo jodiendo con cortarme el pelo y ahora	joy
no paro                	sadness
terribles dolores lpm              	sadness
unos masajes ahora              	joy
no vamos y yo aqui buscando peliculas      	joy
14 por ahi              	sadness
el unico presidente historia al le vida con    	anger
tanto plastico                	anger
no estoy listo para entrar          	sadness
si aunque ya no esta conmigo  haash    	sadness
cansada no tener con quien hablar esta hora ni otras	sadness
fav y hablamos por md          	joy
desperte pero sin el amor mi vida      	joy
domingo ma bajon              	sadness
mi crush no saludo para mi cumple triste igual  	sadness
tengo                  	anger
se los mucho              	joy
eres toda mi canciones favoritas          	anger
por no tiran nueva un solo tiro asi tipo oitnb	anger
lo unico salir cenar sola son mi papas    	sadness
si lo e  ahre          	anger
ay dios hasta donde vamos llegar        	anger
ando unas                	joy
sorry pero no siempre va tener razon y esta bien	joy
todo                  	joy
mi todavia no cae el 20 manana empiezo mi universidad	joy
tu felicidad costa mia            	joy
re di cuenta              	joy
? porque ya nadie quiere una relacion bonita y  	sadness
no se si en mi casa son cada dia mas	anger
diganle aun lo extrano            	sadness
dejaron encargo mi sobrino            	joy
el futbol                	anger
ya tiene madre siempre este escribo algo mal ugh  	anger
se durmio mal pierna y tengo empezando bien el dia	sadness
en pie                	joy
si te gusta super junior han o eres mas bienvenido	joy
estoy poniendo negra              	sadness
tienes los ojos mas bonito          	joy
laacademia con canciones              	joy
verguenza cuando los compre por primera vez ahora ya no	sadness
por si acaso              	joy
toda y fueron y son por        	anger
como el orto dormi siesta          	anger
baby                  	joy
necesito tus necesito tus no te puedes con todo  	sadness
cosita                  	joy
domingo ma horrible              	anger
el siempre tiene con el jesus en boca    	anger
para mi son los por todo lo se vive en	sadness
cuandotepiensosiento algo no se puede          	joy
buen dia                	joy
y marica eso como no cuadra        	joy
aqui esta en fiesta un como si no tuviera estudiar	joy
fui un baby shower y comi todos los pusieron en	sadness
veo el cap ok one y tiro el celular lejos	sadness
podia dar una mas cuando se estaba      	sadness
mi cuerpo pide otra vez playa        	sadness
juro no soy para nada celosa pero esto    	sadness
un mensaje por dia            	joy
habia pasara algo asi y creen paso      	joy
jajaja                  	sadness
muy feliz                	joy
pues en una ya esta leido corto pero interesante ha	joy
quiero verte                	sadness
sabia iba pasar en algun momento        	sadness
pedo con el trafico lit hice como 40 minutos  	anger
pense era mas tarde            	sadness
solo sonrie deja el karma se        	joy
mira eso ganas tener 10 anos        	sadness
yo quisiera saber mensaje e el esta queriendo mi novio	joy
si hay algo parte el corazon e ver senores mayores	sadness
no se esta cosa            	anger
ay mira pero si e mi emocional en forma like	joy
bronca como perder asi hoy          	anger
no te imaginas falta haces viejo        	sadness
estoy tan del orto q voy levantar asi manana y	sadness
8 horas un lunes            	anger
yo en guardia              	sadness
al menos lo intente            	joy
to                  	anger
ay le va un tuit espero le guste    	joy
ni ganas ir trabajar            	sadness
soy el unico le pone mal humor finale estoy re	anger
horror tomar medicina              	sadness
no                  	sadness
como siempre mi pie todos helados ante acostarme    	joy
para q x esta foto del cunado x fa  	joy
fin semana                	joy
estoy en depresion              	sadness
si no aprendo con esto no aprendo ma    	joy
27 votos  bryanmouquetrendy cd9 coder kcamexico      	joy
ctm estoy todo  necesito unos        	sadness
con el buen rollo da mi esta cancion    	joy
menos mal voy mi abuela hoy pq mi mama esta	anger
tantos gatos y vienen uno ya tiene familia impotencia da	anger
mucho duele eso              	sadness
ya somos mas              	anger
do anos atras plis            	sadness
aveces dan ganas ser papa          	sadness
tendria ser ilegal llegar casa del baile y no haya	anger
manana pienso estar todo el dia en el club sino	joy
"veces siento solo soy el "" ya "" persona  "	sadness
horrible e dormir sin            	anger
oigan y pasaria con todos los haciendo      	sadness
vamo ' ah el polvo guitarra un rato    	joy
bronca no poder dormir            	anger
ya le veo mejor su cuello espero no vuelva tener	joy
ta ' madre acabo mi  pasada      	sadness
y yo le hablo todo ti        	sadness
mejor voto ya vrg por si perdi todo    	sadness
insomnio etapa no puedo            	sadness
negra esta sola en casa y le hago video llamada	joy
bueno porque no somos tan malas        	joy
manana empieza mi              	joy
te extrano mi amor ya          	sadness
todo el mundo tiene minimo una amiga en los menos	anger
extrano tanto tanto bailar            	sadness
estoy tan cansada              	sadness
boludo donde esta mi amiga          	anger
todo el cuerpo              	sadness
estoy muero                	sadness
hasta mi jefe del servicio mas cosas      	anger
mal siento                	sadness
esta pendeja ya esta            	anger
send ganas comer              	sadness
despues todo ya todo vale m        	joy
sean 12 y todavia no saber q voy poner estresa	anger
los do ultimos pasan diario          	joy
da tanta ver perritos y todos y con hambre  	sadness
! atencion colombia              	joy
paja trabajar                	sadness
pongan rock                	anger
para cagarla si soy buena          	sadness
tengo mi max 90 re al pedo porque si use	sadness
fran esta pagando mi consecuencias  perdon bebe    	sadness
necesito mi mama              	sadness
y ma con grande            	sadness
el mas verde del mundo soy        	anger
hacia tanta falta hablar con el esa forma    	joy
odio hablen apenas despierto            	anger
no tengo internet              	anger
y el mio del correo compania otra vez    	anger
tanta mala leche iba tener          	anger
espero y si se haga realidad ese viaje tanto espero	joy
odio actitud esa mujer lo juro        	anger
nada sobrino sabes cuentas conmigo mi sobrino      	joy
ganas seguir durmiendo lastima yo no puedo faltar al trabajo	sadness
pedo yo no puedo            	anger
ya le mi tia ya no hablamos y dijo tu	sadness
iba tomarme una foto con y mi pinche cel se	sadness
manana rutina                	anger
enfermo e                	sadness
dios por eso mitad del dia mi hermana cae mal	joy
por favor lo alguien mas si no en el ya	sadness
un dia eres joven y al otro estas durmiendo con	sadness
verdad dolio mas mi ella          	sadness
no puede ser siempre pierda campera en el baile  	anger
y vida e asi hoy estamos manana no sabemos  	sadness
quiero ir y estar con mi familia y comer rico	sadness
veces quiero algo pero no puedo        	sadness
sigue dando gusto encontrarme mi amigo prepa      	joy
y sigue vivo el muy          	anger
han                  	sadness
esta bien feo lo nuevo          	joy
ya hoy  jajaja quiero mas vacaciones      	sadness
manana rindo un final y no se un choto  	joy
lo hayan pudo haber sido un hermoso dia    	sadness
quizas seria lo mejor no quiero vuelvan      	sadness
ay por estas tan pinche hermoso        	sadness
poquito nada mas              	sadness
siento triste                	sadness
no fue buena idea comer todo        	anger
ya hice mi parte            	joy
un dia ama mucho y otros 3 dias se olvida	sadness
soledad e estar con alguien los ojos y no poder	sadness
si hay algo odio e escuela        	anger
cuantas veces mas tengo preguntarme si e lo quiero  	sadness
dicen vida te va lo panza pa cuando    	sadness
yo despues decir verdad            	joy
nooo este hambre              	sadness
mas claro agua  pa ' q lo wn  	anger
tengo en mente tambien al ese        	anger
quiero llorar lo cansada siento          	sadness
bronca loco                	anger
todos dormir como dios manda para manana iniciar clases y	joy
muy bien tv              	joy
yo he dejado creer en tantas cosas      	sadness
hecha viene                	joy
pero en verdad              	anger
bueno hoy quiero cerrar pero manana tengo ocho toy asi	joy
tengo sensacion q hoy tenia q hacer algo no acuerdo	sadness
ni un te hace sacar esta bronca tengo    	anger
ya le dije sebastian iba ir mi casa 3 veces	joy
aqui no mi  adios          	anger
vieja porque extrano tanto            	sadness
odio los                	sadness
cero cana                	joy
no se onda pero ya van 4 veces en total	sadness
y veces uno tristeza con mal        	sadness
mejor dormir renegar              	joy
si manana entro y no estan dona enojar    	anger
mucho trabajando con sofi  sofi si lee esto no	joy
tiro el estado y ahora diciendo no quiere bardo wacho	anger
como lo extrano              	sadness
presiento super sola estos            	sadness
resulto ser re copado            	joy
ni eso va              	sadness
manana todos ellos buscar los perritos se estan perdiendo  	anger
una solo vez              	joy
yo queria irme              	sadness
chota por el piso tienen          	joy
no se puede              	sadness
lo hubiera amado haber pasado esta noche contigo    	sadness
e imposible levantarse cama con este dia      	sadness
hoy si fue un buen dia        	joy
como                  	joy
estres el hoy              	anger
pues poco han los auriculare solo se escucha por un	sadness
con 4                	joy
se enojo                	sadness
yo los 10 y no case        	sadness
sueno nivel echar al pan          	sadness
se re todos              	anger
buen dia buen dia            	joy
no gusta mucho el regreso clases porque no veo mi	sadness
e necesario llegar esto           	sadness
mi fantasia ma grande e dormir 8 horas    	sadness
en el cumpleanos hoy los nenes le dieron como mi	anger
s c t e l v e r g d	joy
se hace cuando te cara          	sadness
mi padre su mi nina su madre      	sadness
y esto apenas empieza en poco tiempo tambien veremos en	anger
no se sea pero siento bonito        	sadness
el miedo perder persona tanto quiero e enorme    	sadness
en contra                	anger
quiero aprender como le haces para dejarme contestar y no	joy
los viejos el todo            	anger
entro 830 y aqui ando muy feliz vida el chisme	joy
siento lo equivocado              	sadness
mas like                	sadness
necesito mas vacaciones              	sadness
hace banda no te veo          	joy
todo el bien perra con mi pestanas ahhhh pero ahora	joy
esta para tortas fritas y los mate      	joy
levante tranquilo y en 2 segundos        	anger
al lado estuve todo este tiempo        	sadness
cansada estoy todo              	sadness
cuando tienes plane salir todo mundo te invita y cuando	anger
otra verguenza mas e un no parar      	anger
estupidas enserio como van asi          	sadness
lindo seria tener alguien para contarle tus cosas    	sadness
lpm cuando mama duerme hago el mayor silencio posible pero	anger
gracias migrana por no dejarme dormir        	anger
en falle los tigres del norte is real    	anger
yo quiero                	joy
enferma tener esperar              	anger
despedidas son lo peor            	sadness
hay paro y yo no puedo rendir  nadie va	sadness
ponerle todo gracias              	joy
cuando                  	joy
lpm no hay forma den ganas estudiar      	anger
mi mama no se da cuenta lastima con cosas dice	sadness
carlos                  	sadness
sad                  	sadness
dios mio el dolor cabeza cargo        	anger
estoy bien triste porque perdi mi        	sadness
quien hace una hace varias          	sadness
ahora ya nada tiene sentido para mi      	sadness
nadie te                	joy
tienen hasta los cojones            	anger
en cualquier momento no se te el dano ya lo	joy
mejor hubiera quedado por alla bien pero no siempre en	sadness
si como puedo persona puedo          	sadness
adoro como deja en visto y no hace lo le	joy
xq dormi tanto ahora no tengo sueno      	sadness
tengo exactamente un dia para          	joy
jamas se va lo queda al alma      	sadness
tengo un ojo ma el otro        	sadness
ojala pase todo rapido            	sadness
con el tiempo uno se cosas le salgan mal  	anger
hoy pienso mi lugar en el mundo e mi cama	joy
al bolo nina disfrutar mucho mucho        	joy
hoy e sabado con s sola solita     	sadness
paz siento hablar con cuando estoy enojada o triste  	sadness
""" estupida mi pelo ""          "	sadness
soy una persona le cuesta muchisimo en el sentido romantico	joy
no quiero quedar en mi casa todo el dia  	anger
lo e tipa              	anger
por mi ultima semana trabajando          	joy
ha sido un placer poder          	joy
ayer volvi ir un bar gay y el wey el	joy
siento solo                	sadness
ay amaneci viva otra vez          	sadness
estos cabrones estan cada dia ma  del puro coraje	anger
si pasa rapido y bla bla pero      	sadness
necesito algo fuerte para borrar todo mi cerebro    	sadness
algo mas va pasar hoy          	anger
este esta siendo uno mi peores anos      	sadness
no soy amigo los plane          	sadness
extrano esas vacaciones men cuando era feliz y no lo	sadness
solo dormi cinco horas y no e nada gracioso  	sadness
tengo sueno pero no puedo dormir        	sadness
emocion ya este abierto en plaza        	joy
20 recien  micaviciconteig micaelistas kcaargentina        	joy
cuando le tu cuenta google tu hermana y se todos	anger
menos mal yo si se quien e quien    	joy
soy re celosa y no lo sabia      	joy
soy persona si dice para salir no sale porque debo	sadness
ahora todo tiene sentido            	sadness
sabia al final iban dejar solo pero no importa  	sadness
levante con toda ganas morirme          	joy
luego no esten hacen enojar          	anger
uno se con mentira mas le gusta      	joy
despues finde como para dormirme          	anger
 aun con el final del episodio 4 madre  	joy
hace una hora estoy intentando dormir        	anger
lluvia tiene                	sadness
lindo e lpm              	anger
una buena y con buena compania e lo mejor del	joy
adivinen quien hoy iba estar como ayer salio y se	joy
asi esto e una cruda desvelo        	sadness
lpm impotencia como harry estos familia        	anger
los no existen siempre            	sadness
y hoy termine sacar mi no confiar en nadie no	joy
quiero ir al cine            	joy
quien se va si yo          	anger
el cumpleanos mas triste            	sadness
ultima temporada                	sadness
linda tarde con los pibes hoy        	joy
gente da una envidia te cagas pero e no hay	sadness
e tan lindo salir 12 y se venga el mundo	anger
intente arreglar pero tu no y no soy buena  	joy
ayer pase todo el dia con mi novio y ha	joy
hoy quiero hacer algo            	joy
ahora estare bastante en twitter por lo menos hasta tenga	sadness
trabajo todo el finde hasta tarde        	sadness
un mensaje mi papa da plata        	joy
jamas habia tanto alguien ya quiero mi pequena regreso  	sadness
no se va olvidar como esos todo pulmon y sin	sadness
horrible independiente                	sadness
vine acostar re loco            	joy
sea un buen miercoles            	joy
estoy re sentimental unas ganas llorar        	sadness
voy dormir todo el dia y no tocar una  	joy
porque gente no tendra palabra como molesta esa vaina  	anger
feo sea asi amix            	joy
oye quien pokemon go tira un error no se ha	sadness
voy tener viajar              	joy
no puede ser este todos literal todos joda  jajajajajajaja	sadness
feo                  	sadness
puse jugar con el gato y corto los dedos muy	sadness
encanta pasar un lado tuyo todos los dias cuanto paso	sadness
por muy mal este siempre tiene palabras bonitas para el	joy
son tan lindos quiero un gato        	joy
se pego al punto decirle baia baia mi jefa  	joy
buen dia para estar lloviendo          	joy
mi mama dijo se iban mi en uni por tener	anger
ante dormia con musica todo volumen y ahora tengo dormir	sadness
tengo cabeza                	sadness
fui                  	anger
buena siesta meti              	joy
abrazo dejas en mi cama  y ahora por tu	sadness
hoy acordaba cosas y            	sadness
no supero no fui ver luna        	sadness
8 am                	sadness
duele pero hay cosas ya no se pueden arreglar y	sadness
enserio nose cual e mi suerte o si ya veo	anger
fav si vieja escuela sabe          	joy
como cuando te el            	anger
tengo un presentimiento tan raro          	sadness
por lo viene y se va        	joy
yo todos los dias            	sadness
jamas se vuelve usar viva colombia como      	anger
50 seguidores para              	joy
lpm se el partido            	anger
goles son amores    al      	joy
acoste y sigue dando vuelta todo si      	sadness
aunque siga teniendo el mismo resultado        	sadness
no hay chica mas y buena onda      	joy
estuvo re rara todo el dia        	sadness
no doy ma del sueno saben quien se va dormir	joy
nada ma cierto              	sadness
sobre da empezar universidad y aun mucho mas empezar historia	joy
buen y divertido sabado para todos        	joy
ya no quiero seguir quiero ser un nino para siempre	sadness
como molesta y mas cuando se como son cosas  	anger
odio dormir sola              	anger
necesito apagar mi mente necesito descansar        	sadness
buenas tardes  por aqui desayuno almuerzo en cama [?]	joy
y licencia pa cuando            	anger
buenos dias mexico  bienvenido cuarta y todo lo falta	joy
y llego el dia            	joy
sentia tan mal dormi y no vi el partido gran	anger
jamas habia tanto el 6 agosto        	sadness
mientras estes mi lado ya nada importa      	joy
nose pasa                	sadness
encanta manana sea lunes            	joy
no pasa nada              	joy
vida sigue diciendo no e por ahi y nunca lo	sadness
el peor lleva su nombre          	sadness
extrano extrano extrano mi domingo          	sadness
neta decepcion                	sadness
el futbol e quiza unica cosa mas ha tener dejar	sadness
u to duro duro bebe          	anger
mi mama tiene un y no lo quiere contar  	anger
ya no puedo dormir            	anger
hoy e un dia muy dificil  un abrazo hasta	sadness
e tan lindo cuando se te van dando cosas  	joy
piola no  el otro sera        	anger
si estoy leyendo un sabado madrugada si hubiera sabido quedaba	sadness
bronca manejo no se explica          	anger
ganas dormir no ma            	sadness
hubiera mas en bus            	anger
ya quiero  jajajaja            	joy
todo dia                	sadness
tomar mate con cande            	joy
el peor domingo dormir            	sadness
en esta el puente mas largo chile      	joy
tres msj no y fui feliz        	joy
luego no te              	joy
estoy muy nerviosa              	sadness
no puedo comer en paz porque luz y no veo	anger
se estaba mucho mejor ante          	sadness
extrano tanto mi mejor amiga          	sadness
soy persona no estar solas en casa      	sadness
no quiero sea septiembre            	sadness
no sea no tire basura en calle      	anger
un buen                	joy
universo una por por examenes 30 ahora valen 60  	joy
justo hoy tengo rendir un parcial        	anger
no soporto mi cuerpo            	sadness
cosas ricas ricas para cualquier dia semana      	joy
no entiendo el por un lado y el interes por	joy
hermoso                  	joy
no hay fin semana no duela espalda      	joy
q bronca q netflix haya sacado        	anger
esta ojete ya no den en los      	anger
duermo                  	joy
solo pasaba decirles siento feliz  sigan en lo estaban	joy
pasapalabrachv pucha ahora dio pena sebastian queria ayudar su mama	sadness
un domingo mas no e luis miguel      	sadness
no puedo creer te asi          	sadness
justo hoy el dia esta hermoso para lavar y ropa	anger
ah bueno se sigue hablando con ex      	joy
debilidad sonrisa una mujer            	joy
soy persona tu              	joy
si un domingo esta hora suena un despertador en mi	anger
duele muchisimo mi papas no crean en mi    	sadness
no tendre novia por soy una clase social baja  	sadness
e triste no hacer ma eso        	sadness
mi viejo se fue y dejo su perro todo no	anger
! date cuenta              	sadness
di cuenta no paro hablar soy un estres    	sadness
extrano y necesito mucho            	sadness
he gracias                	joy
alguien no banco ma mi viejos        	anger
yo quiero 3              	joy
hoy no e un dia hoy e el dia hoy	joy
quedo horrible mi y nuevo  cuando hago para los	sadness
y sigue                	anger
plane lo veia tan lejos ahora los veo tan cerca	joy
todavia no entiendo paso ayer          	sadness
el celular no hermana suena ma el mio    	anger
toda suerte tengo yo            	sadness
no mi realidad              	joy
gente extranas                	joy
no te creo wn pena          	sadness
feo e cuando te sin salida        	sadness
podrida tienen con el aborto          	anger
ya quiero                	sadness
lo invite dormir vino y se quedo dormido para ir	sadness
dios salio todo ayer pero no siento      	sadness
gente sin verguenza              	sadness
estres llueva porque necesito lavar mi ropa      	sadness
estoy muy porque mando matar y nunca se hizo justicia	anger
no llega ir y un tiro        	joy
y noche manana nina si quiere xv anos    	joy
esto mi finde              	anger
e escuchar una buena cancion esta hora se le presta	joy
yo siempre                	joy
"cuando veo como gente va "" "" viendo animales en"	sadness
esa gente no podes stalkear porque cada 3 anos  	anger
tengo solo tres horas para dormir        	anger
quiero ir al mar            	sadness
lit nudo en garganta            	sadness
na si yo no pego una        	anger
espero proxima peli sea no se accion por ya estoy	sadness
plis                  	sadness
? por pierde tanta calidad el video      	sadness
una suerte tengo yo lpm          	anger
mi cuello                	sadness
no sean  quiero ver meme        	joy
mi mama irse y no quiere llevar      	anger
necesito un momento solas con mi cabeza      	sadness
como se hace para algo nunca paso      	sadness
buena vida mia              	sadness
hace no hacia papa y para alguien      	sadness
sere pero no ni            	joy
feo e dormirse asi            	sadness
aun no tengo sueno            	joy
nosotros no toca verla manana esperar un poquito para escuchar	joy
fue cuando                	joy
siempre igual no cambium ma          	anger
alguien quiere ir conmigo al cine le pago    	sadness
perdi otra ver              	anger
hoy tengo dentista y tengo miedo        	sadness
dias senores                	joy
como pone malas nadie            	anger
super contenta mi primer pense no iba quedar ahi llevo	joy
choca gente abre ventana su carro y tira basura en	anger
pinche frio nada mas hace den ganas un    	sadness
soy mas feliz teniendo mi mamita aqui      	joy
ay                  	sadness
cuando te solo porque le caes mal al maestro  	anger
creo hace como 6 no fumo        	joy
se hace esta hora            	joy
da miedo viajar en subte sola porque pierdo re facil	sadness
mami acaba irse asi ya imaginan como estoy    	sadness
lindo mi hija disfrute el amor su abuela no se	joy
y                  	anger
no quiero trabajar ma los domingo        	anger
puse alarma aca estoy 30 min mas tarde    	anger
ni el tiempo en el video no se ve absolutamente	joy
sabado tan domingo              	sadness
al fin pude dormir bien          	sadness
amo los regalos mi papa          	joy
y si volvemos ese dia          	sadness
queriendo salir ya              	joy
como molesta contestar al toque y otra persona se y	anger
baile no estan pegando            	sadness
quede con ganas salir            	sadness
no quiero no dormi un choto        	joy
ni ganas levantarme cama            	sadness
quiero mimos y abrazos cada rato pasa      	sadness
encontre ese pero no se puede        	sadness
como voy extranar mi amigas          	sadness
no se q le hicieron mi amigo pero pls  	joy
pues no se debe            	anger
migrana migrana dejame dormir            	sadness
proposito nuestro                	joy
hace 15 anos no voy al cine      	sadness
mi mama ver serie luis miguel        	joy
como ando extranando              	sadness
pensar e mi papa            	sadness
y dolor horrible en el abdomen asi mi vacaciones  	sadness
5 grados para manana el clima esta on fire  	anger
yo estaba con esta semana teniamos otro y acabo dar	sadness
siento muy triste cuando piden amistades valen demasiado yo soy	sadness
quede con toda ganas ir          	sadness
q tristeza md              	sadness
tengo otra personalidad los dia semanas y los findes  	sadness
? en momento deje reir contigo y llorar por ti	sadness
