,text,label
4121,desperte y ahora ya no puedo volver dormir    ,joy
4122,el peor susto mi vida          ,anger
4123,adoro esa                ,joy
4124,maldita mi suerte solo poder no estar sola e lo,sadness
4125,5 agosto o 23 septiembre          ,sadness
4126,el peor susto noche  gracias dios estamos bien  ,sadness
4127,decepcion                  ,sadness
4128,con limon para              ,joy
4129,esta gorda q los do          ,anger
4130,asi mismo como te puedes ir        ,joy
4131,se termino eso sentirme mal          ,joy
4132,pinche suerte tengo una ogt          ,joy
4133,no caes mal pero tampoco hace feliz      ,joy
4134,y ahora                ,sadness
4135,ya acabe mi internet por mandando fotos todo el dia,joy
4136,llevo dando vueltas por todos lados y no encuentro  ,sadness
4137,tengo ganas cambiarme el icon uno mi hija pero no,sadness
4138,pinche lata todavia explota salen          ,anger
4139,no hables estoy enojada enserio no quiero mal    ,sadness
4140,estaria odiando lucas costo un huevo dormirme y viene despertar,anger
4141,por mas este sufriendo no voy llamar      ,joy
4142,vamos  saben significa            ,joy
4143,ni idea porque el nuevo tema g ft paulo londra,joy
4144,bano di                ,joy
4145,q aburrimiento                ,sadness
4146,yo soy super intensa            ,sadness
4147,yo confio en ella mi mensajes y pasan eso soy,joy
4148,compre una muy linda para el regalo pero claramente el,sadness
4149,doy un banito y arranco vuelta        ,joy
4150,bronca da este              ,anger
4151,si dicho no tenias ganas verme no asi    ,sadness
4152,barca v                ,joy
4153,preparando situacion del              ,joy
4154,e un increible este tipo cosas pasen con tal y,anger
4155,estoy los y tengo ganas llorar tristeza y vez estoy,sadness
4156,vena agarra cuando quieren algo no son  un poquito,anger
4157,todo iba sal esta semana          ,anger
4158,ya quiero alguien guste            ,sadness
4159,si esta en espere ya voy        ,joy
4160,hoy levante con muchos ganas olvidar todo      ,sadness
4161,linda noche cine              ,joy
4162,enferma                  ,anger
4163,no aguanto mas el sueno          ,anger
4164,no esperaba algo asi            ,sadness
4165,mi horario universidad esta horrible          ,anger
4166,quiero                  ,sadness
4167,menos mal esta mi mama para        ,sadness
4168,ojala uno contra el y no        ,joy
4169,odio otra vez los dias sean feos y    ,sadness
4170,lo mejor puede pasar e dejar        ,joy
4171,no paro escuchar esta cancion          ,joy
4172,festival del 2018              ,joy
4173,quiero plan centro              ,sadness
4174,no mg idea hable solo porque va salir    ,sadness
4175,manana voy lo mi tia          ,joy
4176,esta e peor parte            ,sadness
4177,como cuando ya no eres su        ,sadness
4178,mera confianza tuya no            ,anger
4179,club milanesas sonrisa buen domingo          ,joy
4180,si te mucho para dar algo y al final sentir,joy
4181,ya estaba dando un pense habia perdido mi    ,sadness
4182,otros partidos tambien hay hacer frente esta      ,sadness
4183,por tu culpa              ,sadness
4184,mal daria todo por una noche y dormir en tu,sadness
4185,el tercer mundo duele bien cabron        ,sadness
4186,entre el free y serie no duermo mas    ,anger
4187,dia se viene manana            ,sadness
4188,suerte tengo                ,anger
4189,quisiera escuchar asi fue juan gabriel o alguna d ,joy
4190,no comer huevos ojala nunca haber tenido esa conversacion  ,sadness
4191,lo mismo pregunto              ,sadness
4192,se banda guerra en el estadio ya tiene    ,anger
4193,necesito su abrazo              ,sadness
4194,porque lloro por ella si no soy nada para ella,anger
4195,decis he perdido una tarde interesante no joder e encima,sadness
4196,si lloro  micaviciconteig micaelistas kcaargentina        ,sadness
4197,tremendo el frio y todavia estan el      ,anger
4198,muero por hablarle pero ya no quiere saber mi  ,sadness
4199,quiero todo haya sido un sueno        ,sadness
4200,si supiera ganas dan salir corriendo e ir    ,sadness
4201,otra noche en casa            ,anger
4202,e un sabado distinto todos          ,joy
4203,necesito una noche mimos y abrazos        ,sadness
4204,como enferma no poder ver historias wpp por falta memoria,anger
4205,paro policia para mi datos en el centro tanta cara,sadness
4206,para eso jodio tanto bola          ,anger
4207,fin semana estudiando              ,sadness
4208,y pesar nunca flores yo puse        ,joy
4209,buena juntada no con un solo msj      ,joy
4210,espero todos un excelente miercoles mitad semana parece comienzo hoy,joy
4211,y ahi estabamos los do el problema e no estabamos,sadness
4212,ya estoy en casita            ,joy
4213,gracias facebook por lo chingon estaba pasando hace 2 anos,joy
4214,porque hago cabeza tanto            ,sadness
4215,felicidad en un tuit            ,joy
4216,mi otra cuenta como extrano          ,sadness
4217,ahora se supone tengo sentir culpable y no podre disfrutar,sadness
4218,tener plane y reunion al final jornada      ,sadness
4219,ya lo estoy extranando            ,sadness
4220,hay se meten en cosas muy y neta tampoco se,anger
4221,valiendo en el trabajo como cada lunes      ,joy
4222,este ano no estare con el santo grita    ,sadness
4223,mi hermana deja todo lo ultimo        ,anger
4224,el bajon mi vida            ,sadness
4225,lo odio porque tuve            ,sadness
4226,tan triste cuando se acaba lo bueno  tener volver,sadness
4227,ponen d piensen pq estes favor va no contesto pq,anger
4228,cc mi companero se no maestra tarea y pone hacer,anger
4229,en otras noticias regalaron 3 gym para cualquier fecha del,joy
4230,voz e tan linda            ,sadness
4231,si no tiene estomago para cualquier posible respuesta entonces no,joy
4232,primer y ultimo finde semana quedo en mi casa  ,joy
4233,no puedo tragar agua duele ni mi propia salia ayuda,sadness
4234,necesito aca conmigo              ,sadness
4235,necesito comenzar hacer algun deporte          ,sadness
4236,no puedo sentirme tan mal          ,sadness
4237,lindo terminar el finde asi          ,sadness
4238,no tengo equipo mate en el laburo      ,anger
4239,clavo el visto              ,sadness
4240,solo quiero se acabe el semestre y no ver mas,joy
4241,send escuela mi sobrina ando          ,joy
4242,q va llover y yo lave el      ,anger
4243,duele demasiado el cuello            ,sadness
4244,ver una hacer fotos bonitas no e hacer fotos buenas,joy
4245,voy estudiar matematicas              ,joy
4246,lindo dia en el tigre ahora laburar      ,sadness
4247,muertos en 3  justicia para       ,sadness
4248,buenos dias                ,joy
4249,siempre lo mismo y despues tienen un pero para pagar,anger
4250,muero sueno mal              ,sadness
4251,ojala hayan                ,anger
4252,nose ahorrar                ,sadness
4253,te q con plata podes arreglar todo hdp    ,anger
4254,en casa mi tia preparando todo para manana    ,joy
4255,no puedo creer manana ya          ,sadness
4256,y si le hara todo para estar bien contigo  ,joy
4257,el dia hoy lo he mucho como ningun otro dia,sadness
4258,bien lo venezuela              ,sadness
4259,no puede ser un mal dia si desayuno    ,joy
4260,hola volvi                ,joy
4261,lloro bronca                ,sadness
4262,y soy feliz con tan poco dios e fiel y,joy
4263,ya duele cabeza              ,sadness
4264,estoy esperando el msj mi mama diciendome no vaya al,joy
4265,cosas jamas ni dormida            ,sadness
4266,al the time y con mesa        ,sadness
4267,bien hace volver juntarme contigo          ,joy
4268,buen dia un buen cafe con leche      ,joy
4269,esto no e dios venir trabajar un sabado    ,anger
4270,hoy son esas noches lo extrano mucho   como,sadness
4271,? hay algo mas feo hacer tarea en domingo ,sadness
4272,acabo cenar unos taco no pague ahora siento llena pero,sadness
4273,siempre estas al pendiente los tweet y ahora no  ,anger
4274,chico o volvemos con los dias 29 y 30 septiembre,joy
4275,todos por                ,sadness
4276,ya no se como sentarme          ,anger
4277,sabes ha cuando te invitan salir con todo pago pero,joy
4278,soy persona mas entonces            ,joy
4279,y pa chingar              ,joy
4280,no puedo comer sin limon          ,anger
4281,ya quiero q sea viernes          ,anger
4282,se han muerto muchos por querer en todos los lados,joy
4283,da asco vidal so todo lo esta mal    ,anger
4284,ando                ,joy
4285,no estaria ma para hacerme sentir bien      ,sadness
4286,te deseo lo mejor cuando mire hacia atras solo  ,joy
4287,cansado mentiras sobre todo            ,anger
4288,alguien para hacer algo            ,sadness
4289,quiero tener                ,anger
4290,hoy levante y estaba nada irme hacer un tatuaje  ,joy
4291,lol tienen los huevos por el piso      ,anger
4292,paja tener casa sola musica y no tener plata  ,sadness
4293,se le vale madres pero amaneci bien      ,joy
4294,hoy no voy ver alianza meten tres goles    ,joy
4295,no lo vean si quieren dormir rabia ctm   ,anger
4296,llegue ese momento universidad en ya no te alegra volver,sadness
4297,noches insomnio como te extra re nunca se fueron  ,anger
4298,le vaya escuchar historias al tren seguro le tienen mucho,joy
4299,dios estoy durmiendo              ,sadness
4300,on ta mi pinche na enserio        ,sadness
4301,hace mucho frio              ,sadness
4302,ya empezamos                ,anger
4303,este hdp escribe cualquier cosa          ,anger
4304,va nacer una mata en tanta agua mata estoy tomando,anger
4305,por fin descansar despues una larga semana      ,sadness
4306,siento re triste              ,sadness
4307,san t extrano              ,sadness
4308,uff lo cansada estoy            ,anger
4309,hasta volvi ver sonreir ah  lavenganzadearmando      ,joy
4310,feo e extranarte              ,sadness
4311,si no hay interes no hay nada      ,joy
4312,hermosa quedo rodilla y el tobillo        ,anger
4313,nose hacer para estar bien          ,joy
4314,? para escribe si va jeje        ,joy
4315,lo unico calma e tu voz        ,sadness
4316,aun no cae el 20 entro el martes ni mochila,joy
4317,si no invitan no voy ir si no no voy,joy
4318,por cosas como esta si vamos morir todos    ,sadness
4319,maldito orgullo                ,sadness
4320,y ya estoy  ? por eres asi    ,anger
4321,lo menos quiero e estar sola        ,sadness
4322,noticias mi pais son            ,joy
4323,hoy podria estar durmiendo tengo viajar        ,anger
4324,posta voy llorar siempre q veo el final y 7,joy
4325,cuando sera un como gente bronca        ,anger
4326,recien cancha                ,joy
4327,do del coche              ,anger
4328,dios mio el fin semana se pasa en un  ,sadness
4329,nunca mas                ,anger
4330,tengo una todo odio            ,sadness
4331,siempre se le olvida            ,anger
4332,tu abrazo e cura            ,joy
4333,necesito ir ver los increibles 2        ,sadness
4334,no se porque los taco dicen do minutos si van,anger
4335,en toda                ,sadness
4336,helado en cama              ,joy
4337,no se si solo estoy muy cansado o voy enfermar,joy
4338,valio pena                ,joy
4339,duele espalda                ,sadness
4340,yo rio y espero nomas          ,joy
4341,si supiera mi fine semana sin mi amor son super,sadness
4342,por ha algunos le cuesta tanto un error    ,sadness
4343,algun dia voy estar con mi cuerpo respuesta e no,joy
4344,tengo vena q              ,anger
4345,esos ojos                ,joy
4346,yo aun te pongo como mi personal en cada eso,sadness
4347,y yo con el            ,sadness
4348,no esta lejos realidad los ahora        ,anger
4349,yo toda mananas              ,sadness
4350,quiero una hamburguesa ahora mismo          ,sadness
4351,y ahora ya no tengo ir facultad ? se supone,sadness
4352,cuando quiere verme cara estupida          ,anger
4353,el no le pondre indirectas porque sinceramente venia valiendo v,joy
4354,nunca mas pienso ser bueno con nadie pq despues termino,sadness
4355,bano y preparo un buen          ,joy
4356,menos mal pienso ante cosas sino quedaria      ,joy
4357,ya en confianza aburrido estudiar          ,sadness
4358,este tuit representa              ,joy
4359,mision por hoy  buenas noches        ,joy
4360,manera                  ,sadness
4361,cuando llama por mi nombre          ,anger
4362,estoy tan sensible y siento tan sola      ,sadness
4363,triste tener ser el ultimo en decir feliz noche y,joy
4364,fav y te digo algo por md aburro    ,joy
4365,espero no sea lo pienso          ,sadness
4366,hoy estoy no aguanto            ,anger
4367,tengo muchas ganas hablar contigo          ,sadness
4368,se siente feo dejar al perrito te hasta tu casa,sadness
4369,paja y dormir              ,joy
4370,pudiera ir casa dormir directo pero toca e ir estudiar,joy
4371,so hay algo odio e gente haga esperar cuando se,anger
4372,xd y pensar desde aqui ya manda si casa para,sadness
4373,? alguien sabe o va para el      ,sadness
4374,no fuimos ah comer con y        ,joy
4375,pasamos vida buscando el exito sin cuenta ya somos felices,joy
4376,encanta cuando le digo mi papa se dano algo porque,joy
4377,hermoso sabado y lo tengo pasar trabajando      ,anger
4378,sigo vacaciones aun quedan 9 dias pero hoy tambien video,joy
4379,gustaria estar desayunando para ir entrenar no para cursar  ,sadness
4380,y los                ,sadness
4381,espero este desvelo valga pena          ,sadness
4382,una re tristeza tengo            ,sadness
4383,en verdad extrano mucho mi tiempos con      ,sadness
4384,e lo bello              ,joy
4385,mejor con vos              ,joy
4386,bonito ha ser trabajar            ,joy
4387,quien le va tomar fotos          ,sadness
4388,7 viejita                ,sadness
4389,no hay nada peor una tos no te deja dormir,anger
4390,felicidades por los en twitter          ,joy
4391,bronca querer dormir y no poder        ,anger
4392,si manana no se da el ano viene vuelvo para,joy
4393,hoy estaba muy aburrido y tv buscando tengo toda tarde,joy
4394,malo e un abrazo una persona en y ya no,sadness
4395,siento re depre hoy            ,sadness
4396,te extrano                ,sadness
4397,extrano mi novia              ,anger
4398,creo voy borrar esta hay dias meto veo algunos comentarios,joy
4399,gracias por tan hermoso            ,joy
4400,verte y no poder besarte          ,sadness
4401,terrible el mal humor tengo          ,anger
4402,encontrar en el mismo boliche un flaco tenes y te,joy
4403,wey e el ultimo domingo bonito para mi  necesito,sadness
4404,tengo unas ganas llorar pero no se por    ,sadness
4405,alguien decir pelotudeces y en un segundo imagino despues vuelvo,joy
4406,no pasa                ,sadness
4407,soy una pelotuda              ,joy
4408,eso solo lo hacen los          ,anger
4409,pero gente cree uno no tiene derecho un no todo,anger
4410,como estoy por un partido futbol        ,sadness
4411,si hubiese sabido ya llegue al punto no poder recibir,joy
4412,ya no te llamo mas porque haces pasar verguenza diciendo,anger
4413,perdi mi billetera quiero morir          ,anger
4414,e un angelito amo            ,sadness
4415,al parecer solo ire martes y jueves      ,joy
4416,una sonrisa se paga con una sonrisa      ,joy
4417,feo ver alguien esta mal y no saber hacer para,sadness
4418,bueno no tengo licencia para matar porque ya habria un,anger
4419,panza cama                ,joy
4420,por tiene ser todo tan dificil        ,anger
4421,yo toda mananas con el tostada        ,joy
4422,estamos bien  esta todo bien        ,joy
4423,mas puede salir mal            ,sadness
4424,pues no nada nada            ,sadness
4425,cuando pueden hacer un atentado contra el maduro no le,sadness
4426,hoy e uno esos dias en soy muy y solo,joy
4427,y el ha llegado            ,anger
4428,tuitear para pibas estas no rompan pelota      ,anger
4429,ojala todo salga bien            ,sadness
4430,nooooo no dormi casi nada noticia ni dormir dejo  ,sadness
4431,lindo laburar hasta 22 y despues hasta dia veo venir,sadness
4432,mi mejor amigo ya no e mi mejor amigo  ,anger
4433,yo todos los dias            ,joy
4434,domingo misa                ,joy
4435,lpm siento re con esta peli        ,sadness
4436,no estaria nadie              ,anger
4437,ponen muy buen humor y mucho los dias asi  ,joy
4438,tengo pila no rio asi          ,sadness
4439,el pro                ,sadness
4440,estoy con unas ganas increibles perder dignidad      ,sadness
4441,como quisiera echar el tiempo atras y haber tantas cosas,sadness
4442,""" no te unica siempre llegara alguien mas y probablemente",sadness
4443,sigo siendo nina              ,joy
4444,solo queria ganar tiempo            ,sadness
4445,quien mas le dio por el calor      ,joy
4446,muchas veces soltar e mejor opcion        ,joy
4447,y toda plaza siempre tienen los mismos      ,anger
4448,en mi vida necesito alguien hable mucho ingles pero con,joy
4449,? hasta cuando dios mio          ,sadness
4450,hay persona qe no cambian          ,sadness
4451,el haya puesto el tweet se puede ir mucho alv,anger
4452,"se imaginan un amigo le algo como "" oye ?",sadness
4453,tenia mucho no hasta 6 manana  muero sueno  ,sadness
4454,ya acabe verme ultima temporada y ahora      ,sadness
4455,no puedo creer todos los video en esten medias  ,sadness
4456,veo como muchas ninas dejan salir muchas partes y yo,sadness
4457,solo quiero alguien vaya al concierto conmigo      ,sadness
4458,muero calor y tengo los ovarios los arranco y drama,sadness
4459,linda noche con gorda            ,joy
4460,siempre termino todos los grupos          ,joy
4461,no importa dice              ,anger
4462,trato no pero llega un momento en no puedo  ,anger
4463,pobre para toda persona estan fisica fisica da sin  ,anger
4464,domingo tan triste [?] no hay no hay tenis no,sadness
4465,quien no tuvo uno esos          ,joy
4466,si tu asi lo quieres pues asi sera    ,joy
4467,algo mas triste entrar clase e entrar 6 am  ,sadness
4468,no habia visto una persona tan pequena edad con esas,sadness
4469,verdad mi depresion da miedo y en ese sentido ya,sadness
4470,no manden en fb porque no los voy aceptar ok,joy
4471,lo mejor hice ayer fue mi camiseta boca papi debe,joy
4472,asi se nuestro dinero estos senores le algun dia nuestro,anger
4473,odio estar encerrada y todo por tener hacer reposo  ,anger
4474,odio el internet mi casa justo se le da por,anger
4475,linda mi mami se pone conmigo para manana cante bien,joy
4476,no se lo paso contigo no te veo como ante,sadness
4477,duelen un monton piernas            ,sadness
4478,tengo un dolor rodilla            ,anger
4479,no fue divertido cuando subi y se cierran al ultimo,joy
4480,yo soy especial pero e tu te pasas    ,joy
4481,necesito dormirme ante seguir cosas          ,joy
4482,pongo cuando ponen en duda          ,sadness
4483,por los se sienten con hijos no son ni  ,anger
4484,pasado no tantas cosas en mi ser      ,sadness
4485,algunas veces no e uno el carga el pasado sino,sadness
4486,no puedo dormir ahora lpm          ,sadness
4487,26                  ,sadness
4488,no he dormido nada nada pero hoy      ,joy
4489,esperando den mi auto del taller        ,sadness
4490,neta hice para merecer tanta piedra en mi vida  ,sadness
4491,solo tienes decir no poner mile excusas      ,sadness
4492,necesito menos drama en mi vida y ma drama tengo,anger
4493,poner en marcha              ,joy
4494,gente habla  algo no tengo hoy e buen humor,anger
4495,por en mi bebes tiene tantas        ,sadness
4496,lo extrano lo extrano  un par largo    ,sadness
4497,van hacer 5 y yo aca sin dormir    ,anger
4498,soy mas sueno persona            ,sadness
4499,pinche miedo verdad              ,sadness
4500,se termino el finde y acorde tengo q estudiar un,joy
4501,momento mejor noche como toda          ,joy
4502,mi vecino no le con uno con musica todo volumen,anger
4503,termine comer y dio el mal del e como el,joy
4504,ganas decirle un monton cosas siento pero si lo digo,sadness
4505,momentos donde pega depresion y los domingo noche    ,sadness
4506,despues anos no vernos o hablar ellas siempre y estan,joy
4507,y                  ,anger
4508,siempre se hara              ,sadness
4509,si te el celular estando con vos le persona  ,joy
4510,disney termino mi jefe regreso          ,sadness
4511,te extrano demasiado              ,sadness
4512,llorando con   soy          ,sadness
4513,esto fue todo  jaja          ,sadness
4514,tanto esperar dio llego el mensaje y mas 100 con,joy
4515,el tambien aplica para            ,anger
4516,tiempo se mi amigo            ,sadness
4517,no tengo nada bateria y tengo q decirles q vengan,anger
4518,quien se levanto tomar agua y no se puede dormir,anger
4519,quiero por ando              ,sadness
4520,y aunque no te sonrisa da igual porque sabes no,joy
4521,yo no le pienso volver hablar si quiere hablar el,joy
4522,! estamos                ,joy
4523,desde esto                ,joy
4524,somos polvo estrellas              ,joy
4525,ultimamente sigue puro asi bien pero mi no gustan con,sadness
4526,primer cuento dedos listo espero los los      ,joy
4527,send taquitos please              ,sadness
4528,y si dejan lado nuevo no quiero volver ser el,sadness
4529,linda tarde tuve hoy            ,joy
4530,hace una hora y medium estaba muriendo sueno y ahora,anger
4531,necesito mi abuela              ,sadness
4532,y no ando con regla pa piensan una mujer se,anger
4533,alguien tenga en su titular como        ,sadness
4534,no puedo negar el vacio dejado en mi    ,sadness
4535,desperte ya 2 hr sin dormir mejor desayunar solita  ,sadness
4536,el dia dejes ser hipocrita no vamos llevar bien  ,joy
4537,se necesita ayuda en persona          ,joy
4538,otra cosa ma se cabeza          ,sadness
4539,porque no le dieron nicolas maduro  estaban cerca hacer,anger
4540,no mames hasta en fotos mi amigo tenga ver esa,anger
4541,esa tipa hacia en cierto momento yo saludo con una,joy
4542,cara                  ,anger
4543,bronca y mal humor tengo          ,anger
4544,ojala todos los se cagadas hacemos        ,anger
4545,quiero llegue ya el y el frio      ,sadness
4546,no esperaba el dia asi verdad        ,sadness
4547,buen dia gente del            ,joy
4548,asi cuando te visita el amor toda tu vida y,joy
4549,un con el abuelo            ,joy
4550,ya mi tenis              ,sadness
4551,lindo saber estas volando directo montana        ,joy
4552,gracias                  ,joy
4553,en                  ,sadness
4554,pero por todo pasa ami          ,sadness
4555,senora flojera agarro              ,sadness
4556,no se tu pero mi gusta perfume no cigarro o,joy
4557,do mucho                ,sadness
4558,feliz  sabado sabadodeganarseguidores            ,joy
4559,te extrano muchisimo              ,sadness
4560,no quiero sentir asi            ,sadness
4561,basta en el deporte            ,anger
4562,cada vez con ma            ,joy
4563,mi mama acaba decir se va sin mi    ,joy
4564,yo en mi casa            ,anger
4565,buenas lleguen pronto              ,sadness
4566,ustedes y sus sonrisas toda bonitas        ,joy
4567,duele cc un pana se vaya jode      ,sadness
4568,lo sea sera mejor lo tengo ahorita      ,sadness
4569,ya quiero ver mi papi          ,sadness
4570,quien quiera dar bienvenida este regreso clases puede regalar unos,joy
4571,sabe usted le gusta vida te no te eso esta,joy
4572,uno noma                ,sadness
4573,estaba segura algo iba pedir mas        ,anger
4574,te si               ,joy
4575,duele todo mi gordo negro y feo cuerpo ! buen,sadness
4576,duro e cuando sabes verdad pero aun asi esperas sea,sadness
4577,todavia quiero vomitar              ,sadness
4578,quiero usar campera y tiene un olor asado    ,anger
4579,yo cuando se rompio el el primer dia taller  ,joy
4580,voy                  ,joy
4581,llega esta hora y se extrana        ,sadness
4582,molesta mucho levantarme y encontrar mucho juntar cosas ante irse,anger
4583,? sera mi ahora cada lunes o sea e lunes,sadness
4584,bueno si el le gusta esa vida tan toxica mejor,joy
4585,te doy una esta mi numero en el perfil  ,joy
4586,quiero tener una charla con chica        ,anger
4587,quiero ver por netflix pero no esta en espanol  ,anger
4588,mal siento                ,sadness
4589,necesito                  ,sadness
4590,rico e el              ,joy
4591,quiero volver 4 atras            ,sadness
4592,fue otro capitulo guerra del terror por estados unidos en,sadness
4593,no tanto deja vida te          ,joy
4594,dolor piernas                ,anger
4595,hoy toca plan el video del martes hello y jugar,joy
4596,soy desayuno dolores y            ,sadness
4597,corazon                  ,sadness
4598,siento toda porque estoy cruda y no se hacer en,sadness
4599,maria                  ,joy
4600,maldito maldito maldito insomnio            ,anger
4601,son o eran              ,sadness
4602,pinch cagan                ,anger
4603,como odio gigante en pizza          ,anger
4604,ya saquen el chisme quien e el      ,sadness
4605,compro una bien mala hoy en noche y ahora no,anger
4606,estos dias no han sido muy buenos para mi en,sadness
4607,tengo miedo y mas aun por ser como soy  ,sadness
4608,no gusta ver tantos en mi cuerpo      ,sadness
4609,en el desayuno              ,sadness
4610,cuando haces lo correcto cuando sucede lo hay    ,joy
4611,dejame llenar cafe tus mananas          ,joy
4612,maraton hp con ella            ,joy
4613,ta bien                ,joy
4614,un necesito un              ,sadness
4615,duele espalda quiero un masaje          ,sadness
4616,te odio tos              ,anger
4617,y mi en pobreza            ,sadness
4618,jamas su en top chef          ,sadness
4619,recien e miercoles              ,sadness
4620,deberia ser ilegal trabajar un domingo        ,anger
4621,? quien dice e lo y no lo e  ,joy
4622,aun no ha llegado album quite obsesion tengo con is,joy
4623,una semana                ,sadness
4624,como ya le              ,sadness
4625,dios por no hiciste con los mas grandes    ,sadness
4626,veces no hay ni como lo se siente e mejor,sadness
4627,! lo faltaba un perro por idea su dueno !,anger
4628,necesito comerme una caja chocolate enteron        ,sadness
4629,otro dia mas              ,sadness
4630,e neta todo lo cuesta mucho tiempo una mini cosita,sadness
4631,cago sueno pero no consigo dormir peor sensacion    ,sadness
4632,hace tanto no sentia tan mal y sola  quiero,sadness
4633,wtf y yo pensaba el mae era super compa  ,joy
4634,tenia celu con              ,sadness
4635,y ya no quedo nada en lista      ,joy
4636,como lo extrano mi abuelo lpm        ,sadness
4637,ya vi estas en linea te escribi hace 10 segundos,anger
4638,yo quiero te extrano            ,sadness
4639,cada dia se mas tatuajes y mas ganas dan  ,joy
4640,gusta mucho trabajar pero no ir facu despues    ,sadness
4641,todo lo toco lo            ,sadness
4642,mosquito 1 villa 0            ,anger
4643,aguante tanto el pelo largo da lastima      ,sadness
4644,esta e senora puso enfermo el otro dia    ,anger
4645,para todo esta              ,anger
4646,siempre se hicieron los domingo y no gustan porque son,sadness
4647,cuando despierto 830 pa estudiar pero no levanto cama hasta,joy
4648,levante 7 30 manana para hacerme un te con miel,joy
4649,por no soy alta como mi papa      ,sadness
4650,mi novio                ,sadness
4651,hoy amaneci con 3 en frente        ,anger
4652,los los domingo              ,sadness
4653,pinch raro se ve mi sin carne y con pura,sadness
4654,eres una                ,anger
4655,quiero dejar sentirme asi            ,sadness
4656,tantas cosas pero si lo hiciera no q todavia  ,sadness
4657,enojo tristeza decepcion              ,sadness
4658,esta sofia se              ,sadness
4659,sigo pensando en como y en su mina pelotuda soy,sadness
4660,15 llamadas pudo despertar mas mi ganas hacer pi  ,sadness
4661,voy hacer va yo no va hacer ella    ,sadness
4662,mas hueva cuando ya va regreso y se acabaron tus,sadness
4663,e soy muy inteligente y mami en      ,joy
4664,alv eso molesta              ,joy
4665,ningun vago te invita cenar o tomar quieren no ma,joy
4666,porque no estoy en            ,anger
4667,oh pues tengo muchos mas          ,joy
4668,una buena necesito nomas            ,sadness
4669,mi si gustaba y cuando saco su disco por no,sadness
4670,veces se necesita estar en el fondo porque lo unico,sadness
4671,doble                 ,anger
4672,recien levanto y ya enoje          ,anger
4673,odio pesadillas                ,sadness
4674,cosa linda y andar y medias        ,joy
4675,eres estupido deja hacer            ,anger
4676,acabo despertar y tengo como 5 mensajes creo alguien se,joy
4677,ganas helado y ver peliculas          ,sadness
4678,en mi familia estoy entre ser reina los o el,sadness
4679,descuidas el cel 20 min y ya tienes 3 del,sadness
4680,creo no debe haber nada peor sentir todo se te,sadness
4681,toda felicidad tu corazon y dios te bendiga siempre  ,joy
4682,locura                  ,sadness
4683,exacto                  ,joy
4684,extrano un monton              ,sadness
4685,no puedo dormir y tengo levantar en 4 horitas  ,joy
4686,muchas veces no e el lugar son persona    ,sadness
4687,dijeron senora  f            ,sadness
4688,viento frio y agua tengas lindo miercoles      ,anger
4689,mi vecino estaba lavando el auto y vio estaba entrando,anger
4690,por tengo un anillo en el dedo wtf  ?,anger
4691,pone muy esperar              ,anger
4692,si 1 por cada vez te pienso carlos ya estuviera,sadness
4693,yo sone con ella en estos dias estabamos en otro,sadness
4694,nunca odie tanto algo como odio los lunes    ,anger
4695,no hay descuento como tal          ,anger
4696,le falta suele perder marca y llegar lento    ,joy
4697,caga no sentirme agusto conmigo mismo como yo solo  ,sadness
4698,siempre pasa                ,sadness
4699,por se duerme tan mal cuando estas enfermo    ,sadness
4700,buen dia para ustedes ma 2 horas      ,joy
4701,dm                  ,anger
4702,no quiero volver enfermar            ,sadness
4703,no se e peor si tener clase ala 7 am,sadness
4704,lo siento esa nunca fue mi        ,sadness
4705,maldicion hay un perro no se cansa llorar    ,anger
4706,todos en oficina con resaca y bueno yo con hambre,anger
4707,re baje mal              ,sadness
4708,te entiendo                ,joy
4709,internet podre                ,anger
4710,en otras noticias estoy nuevo y noooo      ,sadness
4711,mi abuela te quiere hacer un en cabeza y te,joy
4712,solo quiero y ya mi se m quita todo  ,sadness
4713,? apoyo para ma como estos        ,joy
4714,pero hay en ellos habla experiencia        ,sadness
4715,solo imaginate estas conmigo ante y con mi voz puedo,joy
4716,estoy del perro coraje            ,anger
4717,0 le cuesta el saludo los cara orto hdp  ,anger
4718,te todo lo quieras menos lo iba y aun asi,sadness
4719,preocupa no conteste              ,sadness
4720,cuando sera el dia llegue casa mi novio y el,anger
4721,se los no              ,sadness
4722,alguien explique hago despierta un sabado esta hora    ,anger
4723,para cerebro va volver loco          ,anger
4724,yo creo esta panza tengo e por tantas trago  ,sadness
4725,recuerdo cuando salia todos los fine semana y si no,sadness
4726,amo todo lo esta pasando aunque siento algo miedo por,sadness
4727,mi perro vino pieza se tiro un peso y se,joy
4728,una noche                ,sadness
4729,hola                  ,joy
4730,ay odio despertarme en mananas          ,sadness
4731,todo lo mi mama decia le daba razon    ,anger
4732,creo prefiero rompan el corazon mi yo ser mala  ,sadness
4733,todo el mundo deberia tener un mile para los libros,sadness
4734,no vuelvo ser primera en y no      ,joy
4735,jajajaja  parece todo fuera odio y en este pais,sadness
4736,paciencia ven mi              ,anger
4737,uno los ultimos sabados            ,joy
4738,quisiera seguir tu lado y saber amas tal como  ,sadness
4739,aun no cae el 20 ya entro manana    ,sadness
4740,12 anos estuve con el desde tenia 1 y era,sadness
4741,pa dicen cosas no van cumplir        ,anger
4742,el resumen mi vida pasan toda esas y mas  ,anger
4743,extrano tanto mi toda madre no lo suficiente    ,sadness
